Number,Surname,GivenName,TelephoneNumber,Birthday
51,Saucier,Adrien,03.88.10.42.76,11/24/1990
52,Couturier,Thibaut,04.05.55.54.58,11/2/1981
53,Beauchesne,Harcourt,02.83.46.42.90,10/7/1941
54,Latourelle,Florence,05.64.31.83.08,6/6/1981
55,Primeau,Donatien,04.58.99.49.71,7/31/1946
56,Chouinard,Marlon,01.56.08.06.88,4/5/1952
57,Savoie,Amaury,01.10.74.51.91,6/18/1940
58,Potvin,Victor,01.76.46.48.26,4/10/1955
59,Ferland,Babette,04.29.44.67.25,4/28/1973
60,Gauthier,Sylvie,01.39.01.70.72,5/27/1939
61,Laliberté,Brice,04.75.23.36.89,8/5/1983
62,Compagnon,Alexandre,05.14.63.69.46,8/3/1997
63,Louis,"La Roux",01.61.59.23.71,3/1/1988
64,Lalonde,Josette,01.16.13.98.50,1/19/1974
65,Ratté,Scoville,01.54.47.82.39,4/30/1944
66,Guay,Delit,01.26.24.71.60,6/14/1959
67,Chauvin,Didier,03.07.07.67.65,4/16/1939
68,Leroux,Clémence,05.68.64.84.39,10/27/1997
69,Durepos,Arthur,01.16.13.67.85,12/10/1955
70,Paré,Felicien,03.78.60.81.27,3/8/1947
71,Cyr,Henriette,03.22.00.21.86,11/1/1978
72,Courcelle,Victorine,03.70.76.45.20,4/22/1942
73,Bellemare,Philippine,01.84.87.04.09,2/21/1988
74,Corbeil,Hugh,04.78.10.62.10,1/16/1974
75,Duval,Florence,04.83.13.93.43,1/27/1950
76,Legault,Théodore,01.14.51.05.90,12/27/1939
77,Rocher,Lyle,04.66.49.48.06,9/15/1995
78,Verreau,Paige,02.25.00.39.23,7/6/1972
79,Lafrenière,Bernard,03.21.37.85.93,11/14/1976
80,Lamour,Artus,03.92.85.26.17,2/24/1956
81,St-Pierre,Michel,01.80.99.73.52,9/10/1990
82,Croteau,Julienne,02.52.14.22.85,3/25/1943
83,Marseau,Dorene,01.07.10.85.53,7/14/1976
84,Deniger,Raoul,01.30.06.32.66,12/18/1999
85,Paquin,Véronique,01.10.25.46.19,4/26/1944
86,Moreau,Marie,01.43.05.42.18,12/21/1991
87,Lamothe,Robinette,04.19.11.65.32,2/17/1970
88,Coudert,Agrican,04.05.01.51.74,3/10/1982
89,Dastous,Patrick,03.04.99.29.52,9/2/1989
90,Leclerc,Creissant,04.45.29.71.01,5/28/1960
91,Bienvenue,Troy,05.64.48.25.65,11/26/1980
92,Gamelin,Dexter,01.15.89.96.40,1/10/1956
93,Fouquet,Claudette,05.29.25.64.94,1/8/1980
94,Rouleau,Gilles,01.68.00.73.30,12/6/1990
95,Desruisseaux,Searlait,01.04.29.19.05,2/8/1954
96,Marois,Ogier,04.78.50.06.22,12/26/1977
97,Morin,Marsilius,04.46.49.30.71,8/13/1942
98,Blanchard,Coralie,04.89.52.22.65,9/6/1967
99,Meunier,Leverett,01.98.89.94.55,1/3/1996
100,Fluet,Namo,01.80.32.35.21,2/25/1952
101,Soucy,Brier,02.03.84.73.01,9/13/2001
102,Gosselin,Berangaria,01.62.47.59.07,4/21/1944
103,Thivierge,Esmeraude,01.79.98.03.18,2/4/1982
104,Aucoin,Laetitia,02.39.50.14.35,10/24/1985
105,Langelier,Royce,01.39.48.44.44,3/14/1958
106,Fontaine,Namo,03.67.62.68.16,5/7/1948
107,Baron,Léon,04.32.90.48.63,10/4/1964
108,DeGrasse,Flordelis,01.75.51.79.77,1/4/1952
109,Doucet,Courtland,02.48.42.62.65,9/2/1964
110,Houde,Esperanza,01.26.95.05.72,8/9/1995
111,Mercure,Claudette,03.98.31.50.60,11/11/1973
112,Breton,Avice,03.84.04.36.28,6/15/1938
113,Roux,Melodie,05.22.83.49.57,8/23/1948
114,Mercier,Cher,01.06.12.64.07,5/10/1974
115,Bérard,Antoine,01.58.29.50.56,5/25/1967
116,Arpin,Loring,01.04.15.16.94,6/18/2003
117,Gosselin,Roslyn,05.36.13.94.21,10/7/2001
118,Jobin,Mavise,05.79.50.31.54,7/24/1999
119,Jomphe,Amélie,02.39.64.71.57,7/22/1958
120,Bellefeuille,Avenall,05.07.43.08.70,10/7/1991
121,Roy,Maryse,02.76.40.92.01,1/1/1977
122,Bussière,Claire,05.66.36.45.98,3/28/1976
123,Vadeboncoeur,Jules,03.27.42.00.38,9/9/1947
124,Riquier,Orane,01.81.39.13.28,9/8/1969
125,Lagueux,Benoît,01.88.69.96.19,10/10/1973
126,Morin,Sylvie,01.39.21.74.35,3/5/1976
127,Longpré,Robinette,05.05.91.76.31,3/8/1974
128,Ricard,Chapin,03.79.54.12.67,2/12/1965
129,Gendron,Travers,05.65.20.20.12,5/28/1947
130,Beausoleil,Avent,03.56.51.16.65,2/3/1939
131,Ruest,Gay,03.26.26.80.90,11/20/1945
132,Batard,Audrey,01.87.08.31.62,4/27/1973
133,Leblanc,Pauline,02.08.35.08.19,9/30/1992
134,Riquier,Sacripant,04.98.32.63.05,6/29/1993
135,Gervais,Thomas,03.66.46.37.85,12/27/1939
136,Caron,Océane,03.91.95.97.78,11/20/1981
137,Bédard,Dreux,03.84.83.16.21,7/1/1955
138,Moïse,Loring,01.18.55.22.68,12/19/1961
139,Lafontaine,Byron,01.77.85.25.84,1/2/1950
140,Perrault,Clementine,04.17.11.01.36,3/26/1993
141,Gaillard,Bruce,04.72.54.47.02,1/13/1959
142,Richard,Brier,01.34.17.44.99,9/28/1994
143,Perreault,Ferrau,01.81.43.01.45,7/16/1989
144,Benjamin,Archaimbau,02.08.57.87.03,5/28/1959
145,Mercure,Aleron,01.92.78.54.88,4/16/1943
146,Deschênes,Aurore,01.08.28.59.19,9/18/1977
147,Turcotte,Marlon,05.73.45.68.71,10/21/1952
148,Desjardins,Élodie,03.51.02.35.36,3/24/1978
149,Boisvert,William,01.30.00.07.21,8/3/1987
150,Chrétien,Norris,05.73.03.60.95,12/17/1979
151,Aucoin,Étienne,03.46.75.72.97,1/10/1963
152,Gamache,Fabien,04.38.81.55.22,11/21/1987
153,Chassé,Tempeste,01.75.40.67.43,7/22/1972
154,Doucet,Halette,01.27.42.56.98,12/3/1984
155,Pichette,Juliette,01.87.86.04.20,7/16/1975
156,Voisine,Claude,03.80.61.95.07,12/8/1944
157,Norbert,Oliver,02.75.88.24.65,10/27/1945
158,Barteaux,Denis,04.42.13.90.65,11/18/1940
159,Lachapelle,Philippe,01.96.84.85.97,12/30/1953
160,Poirier,Élise,02.97.72.80.36,9/29/1990
161,Lépicier,Roslyn,03.15.25.68.34,9/15/1990
162,Boutot,Channing,02.39.94.85.73,3/4/1941
163,Fresne,Marshall,01.68.58.99.73,5/31/1961
164,Lacroix,Carolos,04.67.63.27.15,4/25/1991
165,Daigneault,Susanne,05.47.75.94.95,5/5/1965
166,Durand,Valiant,05.33.86.05.08,8/21/1950
167,Poissonnier,Josette,01.67.69.00.96,12/16/1978
168,Fréchette,Jérôme,05.92.11.94.52,3/20/1974
169,Bonsaint,Royden,04.84.87.54.18,12/6/1975
170,Tremblay,Alain,02.88.25.38.68,12/24/2004
171,Gour,Aya,01.32.78.74.86,2/7/1978
172,Chnadonnet,Auguste,04.63.27.65.79,10/26/1953
173,Pelchat,Amélie,05.03.29.77.76,7/23/1987
174,Tachel,Anaïs,03.17.27.88.21,2/7/1980
175,Leblanc,Antoine,03.67.50.49.06,10/15/1955
176,Bernard,Mavise,05.75.04.56.59,12/30/1960
177,Jalbert,Élise,04.62.43.73.30,2/23/1992
178,Lévesque,Sumner,02.62.98.17.89,5/9/1939
179,Meilleur,Christabel,05.07.33.57.07,5/15/1976
180,Courcelle,Ninette,04.45.63.90.23,2/12/1966
181,Metivier,Tearlach,02.67.06.63.76,5/20/1982
182,Desnoyers,Orlene,04.06.38.85.29,9/25/1952
183,Therrien,Latimer,03.42.83.12.97,1/28/1958
184,Quirion,Dorothée,01.73.64.85.35,8/11/1948
185,Brault,Aloin,05.75.81.35.44,4/12/1944
186,Lagacé,Thiery,03.26.92.23.84,7/14/1991
187,Lapointe,Bertrand,04.65.88.59.17,11/19/1965
188,Beaulieu,Grégoire,04.21.97.92.11,2/27/1972
189,Lemelin,Marshall,05.91.24.60.06,8/29/1965
190,Labonté,Searlas,03.31.62.85.94,7/8/2002
191,Benoit,Paige,04.96.98.50.47,8/8/2004
192,Faucher,Verney,01.20.56.15.17,3/5/1973
193,Fugère,Gilles,01.41.66.60.53,7/5/1964
194,Robillard,Mignonette,01.21.42.53.50,3/7/2003
195,Bélanger,Barry,05.66.28.17.18,3/30/1997
196,Paimboeuf,Tyson,04.73.64.80.51,10/31/1994
197,Rousseau,Medoro,01.39.61.81.39,6/26/1939
198,Senneville,Françoise,03.54.71.60.77,5/30/2001
199,L'Anglais,Fanette,04.97.11.86.68,11/24/1993
200,Pelland,Didiane,04.32.65.66.18,10/11/1954
201,Sarrazin,Denis,01.38.24.08.26,11/19/1995
202,Beauchamp,Etoile,01.93.18.83.48,7/28/1947
203,Goudreau,Talbot,03.48.37.91.68,7/9/1993
204,Paiement,Beaufort,01.37.54.64.36,4/16/1956
205,Chenard,Clarice,04.78.32.88.88,3/12/1991
206,Viens,Denis,03.84.28.71.02,12/17/1974
207,Bonenfant,Marlon,03.97.52.46.71,4/24/1953
208,Chabot,Denise,02.33.31.24.94,8/29/1943
209,St-Jean,Stéphanie,01.08.54.45.10,6/1/1955
210,Caisse,Armand,01.55.58.16.75,9/7/1974
211,Lachapelle,Alexandrin,02.08.01.76.95,12/20/1999
212,Marleau,Fanchon,01.04.06.39.92,10/20/2001
213,Mazuret,Ancelote,03.64.13.06.65,7/12/1990
214,Migneault,Laurette,01.06.44.64.06,1/24/1973
215,Denis,Toussaint,02.64.03.02.23,12/12/2003
216,Durepos,Gemma,05.20.48.42.82,12/2/1986
217,Faure,Martin,04.81.21.23.69,7/27/1949
218,Robitaille,Adorlee,03.78.36.29.33,8/4/2001
219,Hébert,Karlotta,01.11.53.58.60,12/26/1986
220,Gaillou,Martin,04.25.52.13.51,12/28/1967
221,Francoeur,Zacharie,02.70.64.70.72,5/7/1996
222,Fortin,Cerise,04.99.79.32.04,9/2/1969
223,Charpentier,Antoinette,01.95.86.54.71,8/24/1954
224,Marois,Valérie,04.93.29.60.25,8/28/1974
225,Pépin,Alexandre,05.01.32.70.00,6/5/1964
226,Routhier,Romain,03.18.48.34.31,4/8/1979
227,Gamelin,Noémi,01.22.95.48.55,11/15/1953
228,Côté,Anaïs,02.02.24.48.85,9/8/1968
229,Maheu,Faye,03.04.96.08.75,9/25/1979
230,Paré,Archard,02.32.46.27.48,2/18/1947
231,Lamour,Sennet,04.34.03.84.70,1/7/1987
232,Théberge,Peppin,02.12.09.91.07,2/13/1961
233,Vincent,Fauna,04.84.24.30.37,2/17/1992
234,Courtemanche,Ray,01.84.66.22.64,1/12/1992
235,Cinq-Mars,Guy,03.43.52.84.45,10/15/2002
236,Audet,Troy,01.75.43.40.36,6/5/1959
237,Beaudoin,Matilda,01.34.16.01.71,9/27/1978
238,Charpie,Archard,03.16.75.38.22,4/24/1963
239,Moïse,Huon,04.24.12.29.21,11/12/1947
240,Crête,Gustave,01.92.26.59.31,8/28/1996
241,Potvin,Mirabelle,05.86.15.16.95,9/11/1966
242,Langelier,Isaac,04.10.57.87.58,12/24/1993
243,Avare,Latimer,04.95.21.30.80,11/27/1972
244,Beausoleil,Aymon,03.71.62.11.83,11/16/1987
245,Frappier,Channing,03.28.52.77.96,5/21/1980
246,Lemieux,Zdenek,05.67.55.95.67,9/7/1985
247,Boulanger,Sumner,05.84.84.96.97,8/1/1954
248,Aubé,Aubrey,01.35.36.16.97,9/18/1957
249,Goddu,Jay,01.90.99.66.86,11/20/1977
250,Rancourt,Dexter,02.22.72.15.96,10/14/1996
251,Levasseur,Auriville,01.28.30.19.16,10/26/2003
252,Douffet,Francis,03.92.82.92.69,6/4/1959
253,Paquette,Peverell,03.62.95.15.36,8/25/1989
254,Laforge,Paul,03.16.11.29.31,6/9/1943
255,Demers,Emmanuelle,03.93.42.73.72,9/15/1985
256,Louis,Barry,01.35.54.71.96,2/5/1965
257,Barrière,Cheney,03.33.69.11.64,10/13/1950
258,Cliche,Millard,03.67.00.25.70,4/22/1998
259,Piedalue,Amber,02.11.53.65.75,12/3/2004
260,Patry,David,04.87.66.08.13,5/16/1983
261,Casgrain,Victor,01.20.54.37.11,5/15/1962
262,Lajeunesse,Frontino,02.00.92.49.25,10/7/1941
263,Fugère,Chapin,01.81.30.76.37,7/2/1939
264,Guilmette,Christabel,04.27.42.37.38,12/30/1971
265,Lamoureux,Arienne,04.74.93.73.74,1/8/1959
266,Lachance,Thierry,04.31.80.94.99,4/27/1992
267,Guibord,Noelle,03.29.49.63.81,12/12/1992
268,Norbert,Yolette,04.73.52.09.80,5/7/1969
269,Richer,Laetitia,04.71.44.80.70,5/17/1953
270,Lapointe,Agathe,01.24.09.40.50,1/11/1968
271,Thériault,Erembourg,01.68.35.33.43,11/20/1943
272,Lachapelle,Honore,03.75.07.92.20,7/29/1950
273,Corbin,Russell,05.28.15.67.86,12/18/1943
274,Pomerleau,Margaux,02.37.17.14.26,4/25/1957
275,LaCaille,Gano,04.57.33.29.87,1/10/1985
276,Saindon,Henriette,01.59.42.22.46,4/9/1960
277,Cinq-Mars,Angelette,01.59.97.79.52,10/1/1989
278,Jodoin,Courtland,04.65.85.93.52,6/1/1987
279,Laforge,Laurent,05.22.77.63.56,8/27/1943
280,Bossé,Tanguy,01.99.15.74.58,5/25/1941
281,Chrétien,Thomas,02.03.23.83.45,11/24/1966
282,Bazin,Françoise,04.99.18.47.42,8/18/1969
283,Riel,Allyriane,01.23.67.20.28,5/21/1970
284,Faure,Philippe,05.91.70.48.02,10/31/1992
285,Huard,Mason,01.63.69.09.55,10/19/1987
286,Belisle,Emmeline,02.05.95.16.39,12/14/1962
287,Loiseau,Anne,03.95.08.77.02,4/6/1974
288,Dupuis,Gemma,01.45.02.54.32,4/1/2003
289,Lepage,Gabriel,03.45.00.55.41,6/3/1955
290,Descoteaux,Solaine,01.27.24.47.47,11/29/1945
291,Leduc,Anne,03.58.00.45.45,11/4/1995
292,Michaud,Maureen,04.37.65.70.61,2/16/1967
293,Salois,Rosamonde,02.22.60.47.96,9/2/1964
294,Cloutier,Leala,04.33.72.78.43,10/2/1998
295,Cadieux,Arno,01.71.01.06.98,11/14/1948
296,Proulx,Gaston,01.09.76.46.30,1/14/1958
297,Duplessis,Medoro,01.68.50.80.38,8/11/1995
298,Chatigny,Moore,01.58.34.32.61,7/19/1951
299,Bonami,Jacqueline,01.81.36.56.67,5/16/1975
300,Chesnay,Germaine,02.87.77.26.68,7/22/1961
301,Dufour,Philippine,01.35.06.41.48,12/11/1956
302,Melanson,Laurette,03.50.54.50.56,8/5/1983
303,Lemelin,Donatien,02.63.05.37.59,8/13/1991
304,Meunier,Martin,01.63.34.04.91,2/2/1950
305,L'Heureux,Cerise,05.83.34.75.70,9/13/1994
306,Landry,Alita,04.94.93.52.14,9/23/1947
307,Parizeau,Warrane,03.03.81.42.43,6/22/1944
308,Dupont,Mignonette,04.44.15.42.03,8/22/1942
309,Goguen,Alexandrin,01.86.38.53.18,5/11/1972
310,Pellerin,Arno,02.92.47.07.76,12/7/1938
311,Guertin,Jewel,02.81.09.46.66,7/30/1994
312,Rouleau,Maurice,03.98.91.46.17,6/24/1966
313,Rouze,Dorene,04.19.15.32.50,3/14/1959
314,Bouchard,Aubrette,05.98.81.32.60,1/11/1954
315,Barjavel,Somerville,01.70.01.65.29,5/21/1955
316,Couturier,Marthe,02.33.23.72.25,10/13/1942
317,Arnoux,Zerbino,01.48.81.38.61,2/15/1971
318,Dostie,Vachel,04.03.48.40.82,6/15/1993
319,Miron,Charline,03.87.57.64.51,9/4/1974
320,Landry,Karel,05.20.89.99.07,8/17/1957
321,Charron,Satordi,04.06.31.61.89,4/23/1951
322,Trottier,Crescent,05.62.04.40.86,2/22/2005
323,Lesage,Orville,03.29.94.03.22,6/7/1982
324,Saurel,Legget,04.18.22.07.28,9/30/1993
325,Robitaille,Alexis,05.63.86.30.27,9/10/1962
326,Brisette,Martine,02.62.16.96.81,1/2/1978
327,Lavoie,Franck,04.45.70.34.93,8/30/1971
328,Denis,Alexandrin,05.57.48.21.52,9/27/1954
329,Michaud,Maslin,03.67.01.67.42,12/25/1954
330,Dagenais,Varden,04.06.92.29.27,2/6/1942
331,Authier,Favor,01.75.91.26.76,7/16/1944
332,Boulé,André,03.63.74.57.56,2/10/1949
333,Margand,Pierrette,03.72.98.54.35,7/23/1957
334,Gagné,Blondelle,01.50.12.94.64,10/18/1982
335,Audet,Leal,01.76.00.74.89,1/3/1969
336,Deserres,Falerina,03.23.32.65.04,6/28/1985
337,Leblanc,Marcel,05.48.48.38.14,7/30/1973
338,Gabriaux,Angelette,03.34.05.97.91,4/17/1950
339,Caron,Grosvenor,02.30.63.17.24,3/11/1969
340,Rancourt,Anaïs,03.29.94.99.81,12/6/1938
341,Guibord,Methena,04.95.21.22.72,11/29/1980
342,Chenard,Anouk,04.23.86.10.35,5/20/1981
343,Fluet,Anastasie,01.88.54.66.91,6/22/1956
344,Durepos,Cosette,03.91.23.10.63,8/25/1957
345,Roussel,Lyle,02.31.74.21.45,3/22/1965
346,Pirouet,Byron,01.91.93.95.26,6/29/1957
347,Blais,Barry,01.02.40.09.16,11/27/1972
348,Beaujolie,Chapin,01.67.96.84.39,8/17/1983
349,Parmentier,Ferrau,03.91.13.29.47,1/5/1950
350,Perreault,Lorraine,01.82.06.36.19,12/30/2002
351,Aucoin,Verrill,05.43.51.06.60,5/23/1940
352,Artois,Vivienne,01.77.31.52.93,11/17/1953
353,Lamontagne,Dexter,03.46.61.65.73,10/8/1960
354,Pellerin,Genevre,03.13.51.87.42,5/19/1952
355,Cinq-Mars,Avenall,04.22.87.28.28,12/14/1943
356,Davignon,Julien,04.11.05.46.15,1/19/1972
357,Tollmache,Brunella,05.16.52.37.46,3/25/1994
358,Bélair,Sylvie,02.18.92.91.96,3/15/1965
359,Caya,Paien,01.62.34.42.38,10/19/1955
360,Quinn,Fealty,03.46.47.60.82,9/5/1964
361,Lebel,Arnaude,01.53.45.14.40,4/9/1951
362,Labbé,Ansel,03.40.22.70.21,9/18/1992
363,Marier,Aceline,02.25.32.87.37,2/17/2005
364,Lachapelle,Eleanor,02.66.87.64.24,9/11/2002
365,Perreault,Christabel,04.63.69.60.94,10/28/1973
366,Arsenault,Olympia,04.76.18.71.26,1/15/1975
367,Lavallée,Agramant,01.30.11.69.07,9/5/1983
368,Charest,Jeanne,05.42.66.43.04,9/1/1995
369,Daigle,Mallory,04.79.04.68.24,3/18/1982
370,Chassé,Avenall,04.31.77.44.43,2/2/2004
371,Bédard,Ferrau,03.43.64.28.76,7/6/1940
372,Despins,Alaine,03.08.06.95.36,1/29/1971
373,Lagueux,Laure,04.77.12.63.39,5/28/1962
374,Bordeleau,Donat,01.47.64.88.13,2/2/1959
375,LeBatelier,Henriette,05.33.54.15.24,10/17/1974
376,Michel,Marcel,03.13.21.65.55,5/16/1995
377,Marcoux,Harcourt,01.29.08.14.27,11/13/1952
378,Dagenais,Dorene,01.04.16.77.60,4/17/1966
379,Goudreau,Porter,02.59.20.08.20,2/7/1947
380,Fouquet,Maureen,04.94.18.42.64,1/1/1977
381,Crête,Bellamy,04.10.46.50.54,8/19/1966
382,Tisserand,Iva,01.13.98.39.26,2/15/1941
383,Sylvain,Avice,01.34.25.26.38,12/27/1944
384,Arsenault,Marc,05.42.83.48.65,2/6/1998
385,Laux,Vincent,02.76.26.81.75,8/21/1950
386,Beaulé,Alfred,03.15.05.79.56,8/20/1960
387,Fluet,Logistilla,04.08.40.82.68,2/3/1978
388,Sacré,Tabor,01.31.81.59.94,4/21/1991
389,Dodier,Gallia,05.48.50.91.31,6/8/1995
390,Goddu,Olivier,01.76.50.96.43,11/29/1947
391,Monjeau,Harbin,04.98.43.89.65,4/21/1963
392,Lafontaine,Didiane,01.08.99.34.92,11/26/1946
393,Duperré,Fifi,04.89.92.13.24,4/9/1999
394,"De La Vergne",Laurene,01.94.47.16.32,5/19/1969
395,Lavallée,Eleanor,01.23.12.08.27,8/4/1942
396,Melanson,Holly,01.81.75.99.71,5/27/1984
397,Talon,Véronique,05.55.13.50.06,9/30/1972
398,Létourneau,Tempeste,04.98.42.92.35,5/5/1977
399,Houle,Ferrau,01.67.51.06.13,10/28/2002
400,Corbin,Agathe,04.76.24.58.29,6/3/1999
401,Arpin,Lothair,04.99.91.04.30,7/18/1991
402,Goudreau,Pensee,01.80.49.12.33,10/30/1950
403,Doyon,Vail,01.06.58.20.67,6/22/1995
404,Pichette,Mireille,02.91.66.29.24,4/3/1983
405,Beaupré,Yves,04.47.33.53.68,7/5/1940
406,Laframboise,Anton,04.77.95.12.66,4/12/1973
407,Dodier,Elita,01.29.94.18.83,8/19/1985
408,Pellerin,Curtis,01.24.24.05.48,1/9/1974
409,Rocheleau,Vignette,05.35.26.45.48,9/4/1953
410,Covillon,Burrell,03.24.11.17.49,4/13/1955
411,Montminy,Serge,04.08.03.68.79,11/20/1973
412,Béland,Turner,05.82.58.13.48,5/12/1988
413,Favreau,Marsilius,05.94.97.60.45,10/28/1957
414,Henrichon,Jesper,02.36.37.69.71,1/28/1950
415,Pouchard,Fayette,05.75.73.68.71,11/24/1942
416,Labelle,Blondelle,04.27.08.88.59,2/15/1953
417,Faucher,Algernon,02.72.97.46.98,10/28/1939
418,Labrecque,Maureen,05.99.71.72.70,2/4/1994
419,Tachel,Melusina,01.74.51.07.82,10/22/1960
420,Vaillancour,Loring,04.83.55.48.36,4/25/1983
421,Ayot,Guerin,01.01.28.48.84,5/17/1944
422,Duval,Monique,01.77.10.97.30,12/7/1942
423,Chaussée,Noël,03.66.07.69.96,5/26/1988
424,Forest,Huon,01.40.23.10.92,7/9/1987
425,Lapresse,Elita,01.92.29.68.95,3/16/2003
426,Gamache,Valérie,01.42.03.53.01,3/20/2002
427,Riel,Francis,01.58.81.63.33,6/14/1991
428,Lamoureux,Ogier,03.69.64.90.01,5/27/1955
429,Brousseau,Agnès,02.25.58.89.88,2/5/1995
430,Morel,Albertine,04.22.68.73.28,3/28/1947
431,Desroches,Iva,04.08.02.39.87,6/25/2000
432,Sauvé,Eloise,03.48.76.06.94,12/15/1952
433,Beaudry,Émilie,04.12.11.46.51,12/31/1942
434,Artois,Aimé,01.80.51.79.05,8/6/1947
435,Bernier,Prunella,03.65.31.69.07,8/20/1997
436,Audet,Ambra,04.78.28.53.08,9/24/1963
437,Barrière,Cendrillon,01.95.81.89.79,11/18/1990
438,Chassé,Yvette,04.27.19.53.03,4/9/1983
439,Gousse,Stéphane,05.94.60.97.61,6/29/1976
440,Primeau,Belda,01.24.34.65.76,10/7/1973
441,Arsenault,Guerin,01.45.68.50.86,5/6/2002
442,Généreux,Francis,01.94.05.96.35,3/7/1967
443,Coulombe,Ophelia,03.33.76.11.34,1/1/1940
444,Baril,Timothée,04.62.78.19.35,3/30/1984
445,Chaloux,Rule,05.28.91.43.31,9/14/1963
446,Grenier,Millicent,01.72.86.58.63,1/19/1952
447,Roy,Fiacre,04.41.52.29.24,4/4/1989
448,Doyon,Rive,01.38.98.33.11,2/28/1992
449,Ailleboust,Pinabel,01.94.26.27.01,12/20/1967
450,Bourgeau,Jesper,01.80.05.22.14,4/16/1965
451,Lessard,Searlas,02.42.25.58.24,6/23/1941
452,Gagné,Philip,01.02.28.52.04,7/10/1985
453,Barteaux,Aubrey,01.68.40.58.59,8/28/1943
454,Brisette,Allyriane,05.10.70.16.05,5/19/1948
455,Sciverit,Bradamate,01.98.64.00.08,5/16/1939
456,Therriault,Sophie,02.68.17.06.41,5/16/1985
457,Carignan,Somerville,05.55.01.24.67,2/3/2000
458,Piedalue,Hélène,02.13.45.92.54,11/16/1969
459,Lamoureux,Stéphane,03.92.49.37.87,11/8/1971
460,Boivin,Roxanne,02.60.20.85.16,8/25/1998
461,Bériault,Matthieu,04.10.94.26.86,11/21/1948
462,Carrière,Martin,01.95.77.09.43,7/15/1991
463,Denis,Robinette,01.81.54.57.90,6/22/1943
464,Josseaume,Dorene,01.04.55.54.49,9/29/1976
465,Cinq-Mars,Marmion,01.19.77.64.95,9/23/1986
466,Croteau,Gill,01.75.13.63.44,5/14/1961
467,D'Aubigné,Jay,02.79.84.51.19,2/28/1950
468,Chatigny,Jeoffroi,01.41.36.79.31,8/11/1979
469,Chabot,Viollette,01.34.54.09.67,6/25/2002
470,Turgeon,Faustin,03.40.62.17.20,12/10/1955
471,Landry,Quennel,02.24.68.57.60,9/2/1941
472,Berthiaume,Alice,01.07.31.70.87,3/16/1944
473,Barrette,Laure,03.26.86.19.38,10/30/1956
474,Lefèbvre,Manville,03.99.71.99.11,6/25/1989
475,Martel,Calandre,01.33.54.70.06,5/4/1967
